社名,問い合わせからの経過日数,接触回数,最終接触からの経過日数,資料請求,デモ版利用,セミナー参加,顧客の業種,顧客の従業員規模,商談フェーズ,提案金額,競合,導入予定時期,決裁者の関与度,企業規模（売上高）,契約成立
企業_1_3L8WJES9,103,0,40,1,1,1,その他,1-10名,提案,4380000,1,1年以内,高い,1億円未満,0
企業_2_7J610F5T,93,4,28,1,1,1,IT,101-500名,提案,650000,0,3ヶ月以内,普通,1億円未満,0
企業_3_PDHGXAP3,15,9,58,1,1,1,IT,101-500名,交渉,2010000,0,未定,高い,10億円～100億円,1
企業_4_WICYZR7Z,107,9,39,0,1,1,その他,11-50名,提案,310000,0,未定,高い,100億円以上,0
企業_5_5PZWS0EH,72,3,50,0,0,0,金融,11-50名,クロージング,3280000,1,3ヶ月以内,低い,100億円以上,1
企業_6_50G7CEDV,21,6,49,0,0,0,製造業,101-500名,提案,890000,1,1年以内,低い,10億円～100億円,0
企業_7_8TXBRU5H,103,8,35,1,0,1,製造業,1-10名,クロージング,2930000,0,未定,普通,1億円未満,1
企業_8_V3G2VWV7,122,4,78,1,0,0,製造業,51-100名,クロージング,4370000,0,半年以内,普通,1億円未満,1
企業_9_33AA16FU,75,3,59,0,1,1,その他,1-10名,クロージング,1120000,1,3ヶ月以内,低い,100億円以上,0
企業_10_XXSEEI17,88,8,17,0,1,0,IT,11-50名,提案,2260000,1,3ヶ月以内,低い,1億円～10億円,1
企業_11_X9SGT5NZ,117,4,19,0,0,1,その他,51-100名,初期ヒアリング,1510000,0,半年以内,普通,100億円以上,0
企業_12_A9S1R8VS,100,8,4,1,0,1,その他,501名以上,見積もり,940000,0,3ヶ月以内,高い,10億円～100億円,0
企業_13_QUUGKJFH,104,7,17,0,0,0,サービス,101-500名,見積もり,4120000,0,1年以内,高い,1億円未満,0
企業_14_MU0WNSB0,152,3,39,1,1,0,IT,11-50名,交渉,4530000,1,1年以内,高い,10億円～100億円,1
企業_15_2G1BFBRN,131,6,0,1,1,0,サービス,51-100名,提案,860000,1,未定,低い,100億円以上,1
企業_16_9277XTTD,150,4,18,1,1,0,小売,11-50名,見積もり,2670000,0,1年以内,低い,1億円～10億円,1
企業_17_QTT4HOXV,53,9,86,1,0,0,IT,501名以上,提案,3160000,1,1年以内,普通,1億円未満,0
企業_18_D6O1NYZD,2,3,25,0,0,1,IT,501名以上,提案,2370000,0,未定,普通,10億円～100億円,0
企業_19_BIJ458LP,88,4,28,1,0,1,IT,11-50名,提案,870000,0,半年以内,普通,1億円未満,0
企業_20_U5G16GJY,158,4,58,0,1,1,製造業,1-10名,交渉,1710000,1,半年以内,普通,1億円未満,0
企業_21_CYCR95N2,38,8,62,1,1,0,製造業,1-10名,交渉,910000,0,未定,低い,1億円未満,0
企業_22_8KXOSJVS,130,8,82,0,1,1,サービス,1-10名,初期ヒアリング,2250000,0,1年以内,低い,1億円未満,0
企業_23_V7MERND5,21,5,61,1,0,0,サービス,101-500名,クロージング,4870000,0,未定,低い,1億円未満,1
企業_24_7GHX66PN,161,3,47,1,1,0,IT,101-500名,見積もり,600000,1,1年以内,高い,10億円～100億円,0
企業_25_MMMG129A,58,1,61,1,0,0,サービス,501名以上,初期ヒアリング,4120000,0,3ヶ月以内,低い,10億円～100億円,0
企業_26_YKP2JS9T,22,2,17,0,0,1,製造業,1-10名,交渉,1730000,1,未定,普通,1億円～10億円,1
企業_27_ZYZCDKPL,89,1,65,1,0,1,その他,501名以上,交渉,2600000,1,1年以内,高い,1億円未満,1
企業_28_O8PHPZAB,49,4,26,1,1,0,その他,11-50名,初期ヒアリング,2220000,0,3ヶ月以内,低い,1億円未満,0
企業_29_SX78XBP8,59,5,5,1,1,1,その他,101-500名,初期ヒアリング,2200000,1,半年以内,低い,1億円～10億円,0
企業_30_Z1QJP8HK,170,4,69,1,1,1,サービス,11-50名,クロージング,3830000,0,半年以内,高い,100億円以上,1
企業_31_AZQLMBZY,15,1,58,0,1,0,小売,101-500名,交渉,4190000,1,未定,高い,100億円以上,0
企業_32_HH915909,175,4,5,0,1,0,製造業,51-100名,初期ヒアリング,1720000,1,1年以内,普通,1億円～10億円,1
企業_33_QEYZWPIS,51,8,30,0,1,1,小売,51-100名,クロージング,3280000,0,1年以内,普通,1億円～10億円,0
企業_34_SIJ1OEYE,108,3,55,0,0,1,サービス,501名以上,提案,3690000,0,未定,普通,1億円未満,0
企業_35_048FHG7B,55,9,53,1,1,0,金融,501名以上,交渉,3970000,1,3ヶ月以内,普通,100億円以上,1
企業_36_Z24WMRYK,64,1,84,1,1,1,IT,101-500名,クロージング,940000,1,半年以内,普通,10億円～100億円,0
企業_37_FB4E0DSO,131,2,40,1,0,1,製造業,501名以上,交渉,120000,0,半年以内,低い,100億円以上,0
企業_38_SQO0B2TK,51,2,17,0,1,1,その他,51-100名,初期ヒアリング,140000,0,3ヶ月以内,高い,10億円～100億円,0
企業_39_PZ0D63YE,135,8,86,1,1,0,小売,101-500名,クロージング,2440000,1,半年以内,高い,1億円～10億円,1
企業_40_CM60DGDJ,21,3,22,0,0,0,金融,1-10名,提案,4220000,1,未定,低い,100億円以上,1
企業_41_GT1QZJ2J,73,0,35,0,1,0,金融,1-10名,提案,3840000,0,1年以内,高い,100億円以上,1
企業_42_IQD23OTH,167,0,24,0,0,1,製造業,501名以上,交渉,2840000,0,3ヶ月以内,普通,1億円～10億円,1
企業_43_9RIQLD49,18,6,6,1,0,0,製造業,51-100名,初期ヒアリング,3800000,1,半年以内,低い,1億円未満,0
企業_44_QQ70VH5X,132,6,81,1,0,0,金融,11-50名,初期ヒアリング,4100000,0,未定,普通,1億円～10億円,1
企業_45_VACIPSY0,89,1,19,1,1,1,IT,51-100名,初期ヒアリング,2990000,1,1年以内,普通,100億円以上,1
